Entry,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,SEP,SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y,Label
A0A7D7CJF6,4.73,2.55,4.73,4,5.09,5.09,2.91,7.64,4,11.27,1.45,2.91,4,3.27,2.18,8,8.73,9.09,2.18,6.18,0.091,0.087,0.822,0.287,0.505,0.418,0.04,0.135,0.087,0.091,0.822,0.567,0.16,0.338,0.167,0.04,0.338,0.415,0.247,0.476,0.229,0.313,0.204,0.498,0.502,-0.497,-0.545,-0.228,-0.442,0.026,4.133,-0.208,-0.135,-0.208,-0.186,-0.219,-0.219,-0.148,-0.283,-0.186,-0.355,-0.089,-0.148,-0.186,-0.161,-0.12,-0.292,-0.307,-0.314,-0.12,-0.248,POSITIVE
A0A7T9KSU0,4.73,2.55,4.73,4,5.09,4.73,3.27,7.64,3.64,10.91,1.45,3.27,4.36,2.91,2.18,8,8.73,9.45,2.18,6.18,0.091,0.087,0.822,0.284,0.505,0.418,0.044,0.135,0.087,0.091,0.822,0.571,0.167,0.331,0.167,0.04,0.331,0.418,0.251,0.473,0.229,0.32,0.2,0.505,0.495,-0.499,-0.527,-0.204,-0.428,0.023,4.136,-0.208,-0.135,-0.208,-0.186,-0.219,-0.208,-0.161,-0.283,-0.174,-0.349,-0.089,-0.161,-0.197,-0.148,-0.12,-0.292,-0.307,-0.322,-0.12,-0.248,POSITIVE
A0A8B1JKX9,6.86,3.17,5.47,4.79,4.92,5.82,2.04,4.86,6.1,9.43,2.37,5.41,3.85,3.37,3.45,6.43,7.41,8.41,1.1,4.74,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.209,0.333,0.138,0.055,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.528,0.472,-0.044,-0.5,-0.181,-0.438,0.002,4.191,-0.265,-0.158,-0.229,-0.21,-0.214,-0.239,-0.115,-0.212,-0.246,-0.321,-0.128,-0.228,-0.181,-0.165,-0.168,-0.254,-0.278,-0.3,-0.072,-0.208,POSITIVE
Q5Y184,5.26,3.95,1.32,3.95,5.26,2.63,0,3.95,2.63,18.42,1.32,6.58,2.63,0,2.63,9.21,6.58,18.42,0,5.26,0.053,0.053,0.895,0.25,0.579,0.513,0.026,0.105,0.053,0.053,0.895,0.658,0.145,0.237,0.158,0.053,0.342,0.434,0.224,0.579,0.171,0.25,0.211,0.566,0.434,-0.958,-0.878,-0.341,-0.63,-0.022,3.672,-0.224,-0.184,-0.082,-0.184,-0.224,-0.138,0,-0.184,-0.138,-0.45,-0.082,-0.258,-0.138,0,-0.138,-0.317,-0.258,-0.45,0,-0.224,POSITIVE
A0A8A5QK30,8.83,0.24,5.73,2.86,3.1,10.02,0.95,3.34,7.64,6.44,1.67,5.25,6.68,8.35,6.68,8.83,7.64,1.91,1.19,2.63,0.153,0.086,0.761,0.277,0.432,0.372,0.067,0.069,0.086,0.153,0.761,0.411,0.272,0.434,0.165,0.019,0.434,0.2,0.365,0.351,0.365,0.284,0.279,0.551,0.449,0.691,-0.442,-0.266,-0.397,0.221,4.026,-0.309,-0.021,-0.236,-0.147,-0.155,-0.333,-0.064,-0.164,-0.283,-0.255,-0.099,-0.223,-0.261,-0.299,-0.261,-0.309,-0.283,-0.109,-0.076,-0.138,POSITIVE
A0A8B6R9V8,4.65,4.65,4.65,4.65,13.95,0,4.65,11.63,4.65,25.58,4.65,0,0,2.33,0,4.65,2.33,2.33,2.33,2.33,0.093,0.093,0.814,0.163,0.651,0.442,0,0.186,0.093,0.093,0.814,0.721,0.093,0.186,0.07,0.093,0.512,0.395,0.093,0.651,0.163,0.186,0.14,0.233,0.767,-1.719,-0.273,-0.247,-0.188,0.058,3.539,-0.206,-0.206,-0.206,-0.206,-0.396,0,-0.206,-0.361,-0.206,-0.503,-0.206,0,0,-0.126,0,-0.206,-0.126,-0.126,-0.126,-0.126,POSITIVE
A0A8B1J9Z1,7.04,3.15,4.84,5.39,4.71,5.99,1.69,4.94,6.28,9.87,2.38,5.3,3.7,3.4,2.97,6.65,7.86,8.32,1.05,4.46,0.109,0.102,0.788,0.255,0.48,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.199,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.529,0.471,-0.061,-0.563,-0.198,-0.479,0.008,4.172,-0.269,-0.157,-0.212,-0.227,-0.208,-0.243,-0.1,-0.214,-0.251,-0.33,-0.128,-0.225,-0.176,-0.166,-0.151,-0.26,-0.288,-0.298,-0.069,-0.2,POSITIVE
A0A7S8MUY0,5.71,2.86,2.86,0,11.43,0,0,8.57,0,11.43,2.86,14.29,2.86,2.86,5.71,5.71,5.71,11.43,0,5.71,0.057,0.029,0.914,0.229,0.543,0.4,0.029,0.171,0.029,0.057,0.914,0.629,0.229,0.171,0.114,0.057,0.286,0.457,0.257,0.514,0.229,0.229,0.143,0.514,0.486,-0.857,-0.187,-0.177,-0.437,-0.195,3.69,-0.236,-0.147,-0.147,0,-0.358,0,0,-0.304,0,-0.358,-0.147,-0.401,-0.147,-0.147,-0.236,-0.236,-0.236,-0.358,0,-0.236,POSITIVE
A0A6M3T2F5,4.73,2.55,4.73,4,5.09,4.73,2.91,7.64,4,10.91,1.45,2.91,4.36,3.27,2.18,8,8.73,9.45,2.18,6.18,0.091,0.087,0.822,0.287,0.505,0.418,0.044,0.135,0.087,0.091,0.822,0.571,0.164,0.335,0.167,0.04,0.335,0.418,0.247,0.473,0.233,0.316,0.2,0.502,0.498,-0.505,-0.535,-0.223,-0.437,0.032,4.135,-0.208,-0.135,-0.208,-0.186,-0.219,-0.208,-0.148,-0.283,-0.186,-0.349,-0.089,-0.148,-0.197,-0.161,-0.12,-0.292,-0.307,-0.322,-0.12,-0.248,POSITIVE
A0A6H2LBH9,7.01,3.13,4.79,5.43,4.74,5.99,1.7,4.9,6.27,9.88,2.38,5.29,3.72,3.43,2.97,6.65,7.81,8.42,1.04,4.43,0.109,0.102,0.788,0.254,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.531,0.2,0.341,0.145,0.055,0.391,0.345,0.264,0.451,0.289,0.267,0.228,0.528,0.472,-0.065,-0.565,-0.2,-0.479,0.008,4.172,-0.269,-0.157,-0.21,-0.228,-0.209,-0.243,-0.1,-0.213,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.151,-0.26,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A6M8DIE4,0,6,8,6,8,4,2,8,2,10,0,4,4,4,4,6,4,12,0,8,0.08,0.14,0.78,0.28,0.46,0.38,0.04,0.16,0.14,0.08,0.78,0.52,0.16,0.32,0.1,0.06,0.28,0.46,0.26,0.48,0.28,0.24,0.16,0.48,0.52,-0.418,-0.306,-0.069,-0.622,-0.127,3.936,0,-0.244,-0.292,-0.244,-0.292,-0.186,-0.113,-0.292,-0.113,-0.332,0,-0.186,-0.186,-0.186,-0.186,-0.244,-0.186,-0.367,0,-0.292,POSITIVE
A0A7T7T242,7.44,4.96,2.48,5.79,8.26,3.31,2.48,6.61,5.79,12.4,0.83,1.65,4.96,4.13,4.13,5.79,8.26,6.61,0,4.13,0.124,0.083,0.793,0.273,0.504,0.413,0.05,0.124,0.083,0.124,0.793,0.603,0.19,0.298,0.14,0.058,0.43,0.388,0.182,0.496,0.248,0.264,0.215,0.455,0.545,-0.451,-0.52,-0.268,-0.38,0.075,4.06,-0.279,-0.215,-0.132,-0.238,-0.297,-0.163,-0.132,-0.259,-0.238,-0.373,-0.057,-0.098,-0.215,-0.19,-0.19,-0.238,-0.297,-0.259,0,-0.19,POSITIVE
A0A8B0K041,7.01,3.13,4.79,5.43,4.74,5.99,1.7,4.9,6.27,9.85,2.38,5.29,3.7,3.43,2.97,6.7,7.81,8.42,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.199,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.528,0.472,-0.063,-0.565,-0.2,-0.479,0.008,4.172,-0.269,-0.157,-0.21,-0.228,-0.209,-0.243,-0.1,-0.213,-0.25,-0.329,-0.128,-0.224,-0.176,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A6M5WNZ9,7.01,3.13,4.79,5.45,4.72,5.99,1.7,4.88,6.24,9.88,2.38,5.29,3.72,3.43,2.97,6.67,7.83,8.42,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.199,0.342,0.145,0.055,0.391,0.345,0.265,0.451,0.289,0.267,0.228,0.529,0.471,-0.062,-0.565,-0.199,-0.48,0.008,4.172,-0.269,-0.157,-0.21,-0.229,-0.208,-0.243,-0.1,-0.213,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.288,-0.301,-0.069,-0.199,POSITIVE
A0A7D7YUH2,8.83,0,5.73,2.86,3.1,10.26,0.95,3.34,7.4,6.44,1.67,5.25,6.68,8.35,6.92,9.07,7.4,1.91,1.19,2.63,0.153,0.086,0.761,0.274,0.434,0.375,0.067,0.069,0.086,0.153,0.761,0.406,0.272,0.437,0.165,0.017,0.434,0.196,0.37,0.351,0.363,0.284,0.282,0.551,0.449,0.7,-0.441,-0.271,-0.398,0.228,4.009,-0.309,0,-0.236,-0.147,-0.155,-0.337,-0.064,-0.164,-0.278,-0.255,-0.099,-0.223,-0.261,-0.299,-0.267,-0.314,-0.278,-0.109,-0.076,-0.138,POSITIVE
A0A891XI23,7.01,3.13,4.79,5.43,4.72,5.99,1.7,4.88,6.24,9.92,2.38,5.29,3.7,3.43,3,6.67,7.81,8.42,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.199,0.341,0.145,0.055,0.391,0.344,0.264,0.451,0.289,0.267,0.228,0.528,0.472,-0.064,-0.565,-0.201,-0.479,0.009,4.172,-0.269,-0.157,-0.21,-0.228,-0.208,-0.243,-0.1,-0.213,-0.25,-0.331,-0.128,-0.224,-0.176,-0.167,-0.152,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A6H2EFQ8,8.83,0,5.73,2.86,3.1,10.26,0.95,3.34,7.4,6.44,1.67,5.25,6.44,8.35,6.92,9.07,7.64,1.91,1.19,2.63,0.153,0.086,0.761,0.277,0.432,0.372,0.064,0.069,0.086,0.153,0.761,0.406,0.27,0.439,0.167,0.017,0.434,0.198,0.368,0.351,0.36,0.284,0.282,0.551,0.449,0.706,-0.447,-0.278,-0.403,0.223,4.009,-0.309,0,-0.236,-0.147,-0.155,-0.337,-0.064,-0.164,-0.278,-0.255,-0.099,-0.223,-0.255,-0.299,-0.267,-0.314,-0.283,-0.109,-0.076,-0.138,POSITIVE
